0-GET Get the source code,"The source code for the app you're going to be developing already exits: you\nneed to get your own copy of it to a place where you can edit it and run it.\n\nGet the source code, ideally by using the VSCode workspace file we have prepared for you. It will clone your Github repository onto your personal directory in the CS Department's *teaching server*.\n\nA requirement for the below steps is to install the main IDE (**I**ntegrated **D**evelopment **E**nvironment) we will use for this module: [VSCode](https://code.visualstudio.com/). This is a modern, powerful and thorough IDE that will be a valuable asset in your toolbox! This is what needs to happen:\n\n* Go to the [buggy race server]({{ site.server_url }}) and login.\n* Link your account to your Github personal account.\n* `Fork` the template for the buggy race editor from [our Github repository]({{ site.editor_url }}) to yours.\n* Download your *VSCode workspace configuration file* by clicking in the corresponding button. Store it somewhere safe.\n* Open it with VSCode. It might complain that some plugins and packages are missing. **Do not despair**, VSCode will kindly offer to install everything that is necessary.\n* You will be asked to input your college password a couple of times. Just type it every time it is requested. Wait for a bit.\n\n\nAfter VSCodes finishes connecting you to our *teaching server*, it will be time to get the code from Github, to your personal home directory in the server. Do not worry, we have also automated this for you. To get a copy of your buggy race editor repo to the server, do:\n\n* go to the *terminal* tab in VSCode, located in the top panel. Then, click on *run task* and a list of tasks will appear. Choose the one starting with `git clone https://github.com/` and wait.\n* The previous step *cloned* your **remote Github repository** to a **local version** which, in this case, lives in the teaching server!\n* If you click on *Open file* and you look in your *home directory*, you should find a folder called **CS1999-buggy-race-editor**.\n* Open that folder and compare its contents against those in the remote repo you previously forked, they are the same!\n* You might get asked for your college password a couple of times in the above step, this is normal.\n* If the *CS1999-buggy-race-editor* **is not** in your home directory, then probably something went wrong. Try to reproduce the above steps once more.\n\n\n<!-- commented out in iteration 2021-2022 as students will be getting the repos automatically via VSCode's tasks -->\n<!-- Get the source code — ideally as a Git repo — onto the machine you'll be -->\n<!-- working on. -->\n\n[0-GET full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-0-get)"
0-RUN Get app running and view it in a browser,"You need to be able to deploy the webserver, contained in `app.py`, so you can view it in your web browser.\n\nRun the python code so it listens on a port somewhere you can point your browser at.\n\n[0-RUN full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-0-run)"
0-CHANGE Make a change to a template and see it appear,"You must demonstrate that you can change a template so the change appears in\nthe browser.\n\nEdit some text in a template (e.g., `templates/index.html`).\nConfirm it changes when you hit the corresponding page in the browser.\n\n[0-CHANGE full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-0-change)"
1-TEMPLATE Add a new template to the app,Some useful information — such as the cost of buggy components — is only\navailable on the race server. You can't access this information when you're\nusing your buggy editor offline.\n\nAdd a new page called `/info` that displays the cost information.\nNow you (or any user of your buggy editor) can investigate buggy costs without\ngoing to the race server.\n\n[1-TEMPLATE full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-1-template)
1-ADD Add more data to the form,The only data being collected by the form is the number of wheels.\n\nAdd more items to the form (and save it in the database).\n\n[1-ADD full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-1-add)
1-VALID Add basic data validation,"If you enter ""banana"" for the number of wheels, you should get an error.\n\nAdd data validation: you app should check that the data input is the right kind\nof thing (an integer) and reject it with a warning.\n\n[1-VALID full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-1-valid)"
1-STYLE Style your editor just how you like it,Your editor looks identical to the basic one.\n\nMake it look beautiful and different from everybody else's.\n\n[1-STYLE full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-1-style)
2-EDIT Edit the record by loading its current values into the form,"In the basic app, the form is blank when you visit it so it always implies the\ndefault value.\n\nBefore you present the form, you should fill its values with the current\nsettings from the Buggy record in the database.\n\n[2-EDIT full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-2-edit)"
2-FORM Make the form better,The basic form isn't easy to use. Can you make it better?\n\nTry to lay out the form to be clear and easy to use.\n\n[2-FORM full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-2-form)
2-COST Calculate and save the game cost of the buggy,"The cost of the buggy (worked out using the game rules) affects whether it can\nbe entered in some races. Add the cost to the record.\n\nAdd a new integer column called `total_cost` to the `buggies` table, and store\nthe total cost there.\n\n[2-COST full details](https://rhul-cs-projects.github.io/CS1999-buggy-race-server/project/tasks/#task-2-cost)"
